DATE,Colorado,Puerto_Libre,21230120,23060260,23065120,23060200,23060190
1/1/2000,1.86,,0,3.2,1,6.3,1
1/2/2000,1.72,1.53,0,0,0,0,
1/3/2000,1.65,,0,1,1,3.4,
1/4/2000,,1.74,0,0,1,2.5,
1/5/2000,,,0,0,3.5,2.9,
1/6/2000,,,0,0,0,34.5,
1/7/2000,2.47,,0,1.3,6.5,3.3,
1/8/2000,,1.685,0,0,6.5,30.4,
1/9/2000,1.945,1.525,0,0,1,4.1,
1/10/2000,,1.485,0,0,16,3.9,
1/11/2000,,1.5,0,5.5,2.7,53.1,
1/12/2000,2.8,1.81,4.4,2.2,0,0,
1/13/2000,2.06,1.685,0,0,0,0,
1/14/2000,1.71,1.485,0,0,2.7,0,
1/15/2000,,1.455,0,0,3.7,0,
1/16/2000,,1.4,0,0,0,0,
1/17/2000,1.58,1.395,0,21.5,2,18.6,
1/18/2000,,1.32,0,0,0,0,
1/19/2000,,1.49,0,0,0,1.5,
1/20/2000,1.54,1.32,0,0,1.8,0,
1/21/2000,1.52,1.3,0,1,0,0,
1/22/2000,,1.255,0,0,0,0,
1/23/2000,,1.195,0,0,0,0,
1/24/2000,,1.17,0,30.5,0,0,
1/25/2000,1.8,1.15,0,16,5,3.2,
1/26/2000,2.02,1.465,0,13.9,8,4.3,
1/27/2000,1.84,1.6,4.8,0.5,4,0,
1/28/2000,1.71,1.47,0,0,22,2.7,
1/29/2000,1.72,1.41,0,0,,0,
1/30/2000,1.84,1.36,18.9,7.8,2.7,1.2,
1/31/2000,1.81,1.405,0,0,0,0,
2/1/2000,1.69,1.465,0,0,0,0,
2/2/2000,1.81,1.455,0,0,0,0,
2/3/2000,1.92,1.6,6,0,1,0,
2/4/2000,1.68,1.425,11.8,0,0,0,
2/5/2000,2.12,1.345,3.4,11.5,1.2,18.6,
2/6/2000,1.64,1.51,0,1.7,0,0,
2/7/2000,1.6,1.33,0,0,0,0,
2/8/2000,1.54,1.24,1.2,18.7,3.5,1.2,
2/9/2000,1.55,1.37,5.7,8.8,4.2,9.6,
2/10/2000,1.61,1.7,0,4.7,2,0.9,
2/11/2000,1.81,,0,0,16,15,
2/12/2000,1.8,,0,0,1,0,
2/13/2000,1.66,,0,0,1.5,8.8,
2/14/2000,1.61,1.49,0,1.6,5.8,17.1,
2/15/2000,1.51,,0,0,1,0,
2/16/2000,1.73,,0,17.5,1.5,0,
2/17/2000,2.04,2.08,0,0,5,38.2,
2/18/2000,1.92,,0,0,4.3,64,
2/19/2000,2.17,,0,0,3,13.1,
2/20/2000,1.96,,0,11.2,22.5,14.7,
2/21/2000,2.21,,0,0,2.3,10,
2/22/2000,2.01,1.94,6.7,8.5,14,24.9,
2/23/2000,2.41,,11.4,20,2,0.7,
2/24/2000,2.04,,17.6,3.6,7.3,20,
2/25/2000,2.21,,0,1.2,41,10,
2/26/2000,2.35,2.24,9.3,83,2.3,9.2,
2/27/2000,2.59,2.86,5.7,16.5,9.7,22.5,
2/28/2000,2.65,2.52,25.8,17.5,17.5,28.2,
2/29/2000,3,,0,2.5,1.2,1.1,0
3/1/2000,2.39,,5.2,14.3,1,0,13.9
3/2/2000,2.21,2.1,0,2,0,0,6
3/3/2000,2.41,,0,0,0,0,0
3/4/2000,2.07,,0,0,0,0.5,0
3/5/2000,2.16,,1.8,0,0,0,4.5
3/6/2000,2.39,,8.5,23.7,1,4.2,3.7
3/7/2000,2.28,,0,0,15,14.9,0
3/8/2000,2.29,2.06,1,3.4,3.5,4.5,9.6
3/9/2000,2.05,2.07,1.8,4,19.3,12.9,0
3/10/2000,2.16,,5,0,0,0,0
3/11/2000,1.86,,0,10,0,0,6.5
3/12/2000,1.93,2.02,22.9,2.5,0,20,0
3/13/2000,2.19,,12.9,4.5,9.7,10,0
3/14/2000,2.09,,0,0.5,14,18.9,14.7
3/15/2000,2.28,2.135,0,0,0,0,1.7
3/16/2000,2.1,,0,11,0,8.3,11.5
3/17/2000,2.21,,0,2,17,20,0
3/18/2000,2.03,,0,2.5,27,12,0
3/19/2000,2.37,2.54,0,1,17.5,6.5,0
3/20/2000,2.25,2.17,8.5,18.5,22.5,13.8,3.3
3/21/2000,2.11,2,3.6,9,6.5,14.6,18
3/22/2000,2.33,,0,0,2.8,2.1,12
3/23/2000,2.38,2.18,1.8,3.4,19,2.1,0
3/24/2000,2.48,2.06,18.2,0,35.8,30,0
3/25/2000,2.55,,8.6,0,,2.2,0
3/26/2000,2.55,,4.2,21.6,9.8,14.1,20.5
3/27/2000,2.44,2.05,9.4,63.5,8.3,11.6,0
3/28/2000,2.4,2.14,0,0,0,0,6.2
3/29/2000,2.1,1.98,0,0,0,0,0
3/30/2000,2.05,,0,21,9,16.2,0
3/31/2000,2.13,2.08,0,0,0,0,1.4
4/1/2000,1.9,1.84,0,0,0,0,0
4/2/2000,2.19,,0,6.7,0,0,0
4/3/2000,1.85,,2.3,5.5,9.7,32,0
4/4/2000,2.51,,17.7,2.2,,8.1,0
4/5/2000,2.35,,27.5,55,19.5,10,7.8
4/6/2000,2.95,,0,0,0,0,1.1
4/7/2000,2.19,,0,0,0,0,0
4/8/2000,2.11,,0,2,0,0,0
4/9/2000,1.94,1.9,0,3.7,0,2.6,0
4/10/2000,1.94,1.87,0,8.5,0,0,4.6
4/11/2000,2.55,2.25,1.8,0,0,1.1,0
4/12/2000,2.11,,9.1,27.5,0,10,0
4/13/2000,2.3,,0,25,25,11.4,0
4/14/2000,2.8,,1.6,36.6,,0,0
4/15/2000,2.84,,8.3,11,,15,31.9
4/16/2000,2.28,2.08,2.7,31.5,,6.6,14
4/17/2000,2.47,,0,1.5,8,16,0
4/18/2000,2.36,2.66,0,0,1,0,0
4/19/2000,2.91,,50,5.5,0,0,1.9
4/20/2000,2.47,,0,2.5,0,0,0
4/21/2000,2.32,,0,1,0,0,0
4/22/2000,2.55,,0,0,14,0,23.2
4/23/2000,2.19,,0,0,,0,0
4/24/2000,2.17,,2.6,0,1,0.4,0
4/25/2000,1.9,,0,0,0,0,0
4/26/2000,1.99,2.02,0,2.3,0,0.3,0
4/27/2000,1.86,,0,0,0,0,0
4/28/2000,1.77,1.81,0,0,0,0,2.2
4/29/2000,1.65,,0,0,0,0,0
4/30/2000,1.74,1.69,3.3,0,0,12.3,1.5
5/1/2000,1.74,,9.7,18.6,21.7,18.2,0
5/2/2000,1.91,1.95,10.5,0,0,3.6,0
5/3/2000,1.79,1.92,0,3.1,0,1.6,0
5/4/2000,1.86,1.79,0,0,0.4,0.5,0
5/5/2000,1.69,,3,68,24,9.2,2.2
5/6/2000,2.55,2.59,0,0,0,0,0
5/7/2000,1.79,1.93,0,0,1.9,0,0
5/8/2000,1.82,4.05,0,4.5,0,0.1,0
5/9/2000,1.69,2.24,0,0,1,0,0
5/10/2000,1.59,,0,2.2,10,0,10.8
5/11/2000,1.56,,2.4,18,24,8.7,0
5/12/2000,1.67,2.54,0,1.5,0,0,0
5/13/2000,1.73,2.12,1.2,0,7,0,0
5/14/2000,1.7,,2.2,3.2,4.5,14.9,0
5/15/2000,1.9,,0,0,0,17.7,0
5/16/2000,1.69,2.73,0,14.4,0,0,32.7
5/17/2000,2.2,2.89,10,0,17.6,0.4,0
5/18/2000,1.93,2.2,10.4,5.4,5.3,1.3,0
5/19/2000,2.09,,0,4.3,8.9,13.7,1.5
5/20/2000,1.93,,0,2,0,0,0
5/21/2000,1.965,2.12,2.4,0,1.2,4.2,0
5/22/2000,1.72,2.05,0,7.5,0,1.9,3.4
5/23/2000,2,,0,0,6.3,0,0
5/24/2000,1.74,,0,0,6.3,3,0
5/25/2000,1.67,,0.4,0.5,1,0.7,0
5/26/2000,1.69,,0,0,2,0,0
5/27/2000,1.58,,0,0,0,0,14.1
5/28/2000,1.64,1.82,0,3,0,0.7,0
5/29/2000,1.49,1.96,2.5,0,3,0,0
5/30/2000,2,,0,0,2.7,0.4,0
5/31/2000,1.84,,0,9.5,0,0,36.5
6/1/2000,1.9,,0,0,0,0,0
6/2/2000,1.64,,0,1,0,0,8.9
6/3/2000,1.61,,0,5.6,0,0,0
6/4/2000,1.95,2.06,16.2,2.2,0,1.9,1.5
6/5/2000,1.72,,0,0,0,0,0
6/6/2000,1.48,,0,0,0,0.5,0
6/7/2000,1.9,1.98,0,9.9,11,10.9,1.1
6/8/2000,1.96,1.875,0,16.8,0,3.7,0
6/9/2000,1.76,,0,3.6,3,5,11.5
6/10/2000,,,2.9,0,0,0,17
6/11/2000,1.46,,0,0,0,0,0
6/12/2000,1.46,,0,0,0,0,4.7
6/13/2000,,1.7,0,0,1,0,0
6/14/2000,2,,3.2,4.5,1,0,1.7
6/15/2000,,2.06,1.5,0,1,1.5,21
6/16/2000,,1.81,1.2,2,0,0,27.5
6/17/2000,,2.14,0,0,0,0,12.5
6/18/2000,,2.44,2.4,4.3,0,4.8,0
6/19/2000,2.06,3.42,6.8,0,0,0,0
6/20/2000,,2.27,8.5,1.7,0,0,0
6/21/2000,,,22,0,0,0.4,1.6
6/22/2000,1.8,,0,2.5,0,2.2,0
6/23/2000,,2.93,0,0,14,12.9,0
6/24/2000,1.9,3.015,0,0,26,2.5,1.9
6/25/2000,,,0,4.7,0,20,0
6/26/2000,1.845,2.25,0,0,0,0,0
6/27/2000,1.64,,0,0,0,2.3,0
6/28/2000,1.63,,0,0,0,0,0
6/29/2000,2.88,2.25,0,0,0,0,0
6/30/2000,1.94,1.94,0,0,0,0,0
7/1/2000,,,0,0,0,0,0
7/2/2000,1.63,2.06,0,0,0,0,7.7
7/3/2000,,1.8,0,0,1.5,0,0
7/4/2000,,,0,0,0,2,10
7/5/2000,1.55,1.82,0.5,0,0,0,0
7/6/2000,1.48,,0.7,0,7.5,0,0
7/7/2000,1.62,,0,0,0,0,0
7/8/2000,1.38,,0,0,0,0,0
7/9/2000,,1.72,0,0,0,0,0
7/10/2000,,1.61,0,0,0,0,0
7/11/2000,,,0,0,0,0,0
7/12/2000,,,1.7,0,0,2.2,0
7/13/2000,2.12,,2.9,8.5,2,5.1,0
