DATE,ARRANCAPLUMAS,PUERTOSALGAR,PUERTOINMARCO,PUERTOBERRIO,BARRANCABERMEJA,PUERTOWILCHES,SANPABLO,GAMARRA,ELBANCO,MAGANGUEESPERANZA,PLATO,CALAMAR
01/01/2000,2.24857179,2.272,2.188562188,2.155256559,2.063929896,1.757000156,1.713944929,1.652473751,1.38406731,1.731021214,1.760422801,1.768946651
02/01/2000,2.86256596,2.812,2.338145686,2.292194521,2.123987733,1.793540775,1.811915075,1.708894775,1.517261867,3.123484004,3.065477874,3.031424944
03/01/2000,2.565970055,2.802,3.068835159,3.116194119,3.238929162,3.115950586,3.224046276,3.523645025,3.158318577,4.012904844,4.023704979,4.03256189
04/01/2000,2.764190847,2.961,3.589150735,3.621701844,3.981575701,4.467703359,4.481370684,4.770010817,4.363500268,4.665361516,4.567730709,4.529543532
05/01/2000,2.570108733,2.781,2.701302216,2.652873654,2.390676452,1.999553088,1.948650897,1.884015064,1.5447227,2.039439767,2.034413083,2.027514794
06/01/2000,6.209569907,6.351,5.912547763,5.817590886,5.008694793,4.156162866,4.046257351,3.957717671,3.242884196,4.260014884,4.10288251,4.060231934
07/01/2000,7.419280316,7.476,7.495551571,7.454598376,6.977919551,5.866331748,5.804572436,5.954444457,5.133493806,6.626106467,6.401341491,6.332074773
08/01/2000,4.590888995,5.07,5.674769384,5.596593049,5.261836607,5.196127476,5.055022579,4.93792243,4.280959011,4.431708399,4.363516162,4.323307603
09/01/2000,3.68103366,3.77,3.391444696,3.309746069,2.824367927,2.503904342,2.425648034,2.34333491,1.932402811,1.878174475,1.805452867,1.782194361
10/01/2000,7.013053401,7.012,6.28202067,6.127212088,5.162892366,4.353836923,4.219947645,3.891329235,3.130819663,3.241077325,3.113214505,3.073042399
11/01/2000,6.995296728,6.785,5.732349046,5.581954215,4.738113769,3.828745247,3.70080473,3.425876593,2.78701624,2.50921385,2.410425904,2.378150307
12/01/2000,3.298587856,3.205,2.731817812,2.673577792,2.380467121,2.174993478,2.105748464,2.079615614,1.902616267,1.637419604,1.57937451,1.558322993
13/01/2000,1.609138187,1.556,1.268334933,1.234071065,1.035176741,0.866027114,0.837517291,0.802372521,0.69061429,0.713546032,0.686144888,0.676941703
14/01/2000,3.729360974,3.699,3.278325126,3.19638736,2.692378903,2.291460902,2.216291778,2.059479886,1.692425047,1.998464372,1.919667531,1.893954421
15/01/2000,4.419550749,4.341,3.529016405,3.432893236,2.883380291,2.381144083,2.298475863,2.186540303,1.857939597,2.368716849,2.28012008,2.250274602
16/01/2000,4.395809725,4.393,3.553186125,3.453664682,2.862570723,2.293505192,2.213676779,2.171700849,1.84318498,2.403810322,2.309484982,2.278507511
17/01/2000,7.439286379,7.238,6.146698471,5.987976335,5.176573852,4.41336232,4.259922232,3.932439739,3.166897882,2.788792791,2.677726808,2.641775388
18/01/2000,1.430795601,1.569,2.081785316,2.066844147,2.050503118,1.99730001,1.94117466,1.833983721,1.494465277,1.535315691,1.481167041,1.462227442
19/01/2000,4.110705251,4.005,3.47370533,3.394098182,2.967250252,2.634711307,2.54512506,2.33586229,1.868797398,1.417711298,1.361167038,1.342885371
20/01/2000,2.060144624,2.012,2.83525054,2.930512456,3.392177856,3.442574663,3.39388364,3.169581214,2.538327483,2.383248639,2.287993243,2.257248852
21/01/2000,0.823484019,0.821,1.642898748,1.657706608,1.653614979,1.562866617,1.550733682,1.433349132,1.159856793,1.304920207,1.256766947,1.240539233
